Date,Close,High,Low,Open,Volume,Daily Return,Cumulative Return,MA20,MA50,Volatility20
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,
2018-01-02,40.341888427734375,40.351258103264755,39.63931284929152,39.85008766691489,102223600,,,,,
2018-01-03,40.334861755371094,40.87818856844172,40.27163252810483,40.40512002581769,118071600,-0.00017417807239905603,-0.00017417807239905603,,,
2018-01-04,40.52220916748047,40.62525413708489,40.299727659552815,40.40745389251491,89738400,0.004644801146105992,0.00446981405119673,,,
2018-01-05,40.983577728271484,41.07022757766769,40.526904291139054,40.618238978565536,94640000,0.011385572757994344,0.01590627820228563,,,
2018-01-08,40.83135986328125,41.12644037566064,40.73299611900326,40.83135986328125,82271200,-0.003714118518384768,0.012133081881471108,,,
2018-01-09,40.826656341552734,40.997615352543406,40.61120031743826,40.87817882269785,86336000,-0.00011519385453395703,0.012016490370467814,,,
2018-01-10,40.81730270385742,40.81964690977428,40.51519673980712,40.55266829963054,95839600,-0.00022910614126858686,0.01178463117745876,,,
2018-01-11,41.049137115478516,41.09831896425043,40.86412717168222,40.88754420684914,74670800,0.0056798072450579,0.017531372856058658,,,
2018-01-12,41.473026275634766,41.536259064148354,41.13578950154014,41.25991087346616,101672400,0.010326384181079673,0.028038792728471762,,,
2018-01-16,41.26226043701172,42.01167360260789,41.25055013043537,41.662726478142304,118263600,-0.005081998049099923,0.022814301589426655,,,
2018-01-17,41.943756103515625,41.9788834468811,40.99996336127196,41.25288738047048,137547200,0.01651619807752014,0.039707305190997966,,,
2018-01-18,41.981231689453125,42.17795556841482,41.7446991964493,42.006992937085954,124773600,0.00089347234055559,0.040636254910459746,,,
2018-01-19,41.79388427734375,42.056178038174856,41.54798208982235,41.82901162978203,129700400,-0.004462646867896547,0.03599226278686407,,,
2018-01-22,41.45197296142578,41.634642386902385,41.35829761576586,41.52223125741341,108434400,-0.008180893492671037,0.027516920425773472,,,
2018-01-23,41.46131896972656,42.02338149170278,41.4098000560253,41.52221113102708,130756400,0.00022546594608363613,0.027748590500354275,,,
2018-01-24,40.80091094970703,41.52222239244202,40.5620342237433,41.51051208336333,204420400,-0.01592829259729378,0.011378310234408273,,,
2018-01-25,40.072566986083984,40.97186281875041,39.93673528633479,40.86881783456247,166116000,-0.017851169169257886,-0.006675975075704388,,,
